Epoch	Dice_Train	Dice_Val	AUC	Dice_11	Dice_22	Dice_33	AUC_1	AUC_2	AUC_3	
000	0.749302	0.738110	0.500000	0.819152	0.809927	0.585250	0.500000	0.500000	0.500000	
001	0.750694	0.713164	0.500000	0.814779	0.788712	0.536000	0.500000	0.500000	0.500000	
002	0.757199	0.757591	0.500000	0.894986	0.773676	0.604111	0.500000	0.500000	0.500000	
003	0.752227	0.727061	0.500000	0.883981	0.708420	0.588781	0.500000	0.500000	0.500000	
004	0.759684	0.747366	0.500000	0.886199	0.797742	0.558156	0.500000	0.500000	0.500000	
005	0.764388	0.731963	0.500000	0.862737	0.794888	0.538264	0.500000	0.500000	0.500000	
006	0.745384	0.749421	0.500000	0.873005	0.747012	0.628247	0.500000	0.500000	0.500000	
007	0.766405	0.747453	0.500000	0.842149	0.801562	0.598649	0.500000	0.500000	0.500000	
008	0.742312	0.759845	0.500000	0.886145	0.756568	0.636822	0.500000	0.500000	0.500000	
009	0.760676	0.713980	0.500000	0.873334	0.771879	0.496727	0.500000	0.500000	0.500000	
010	0.761949	0.764222	0.500000	0.883026	0.799906	0.609735	0.500000	0.500000	0.500000	
011	0.765658	0.666194	0.500000	0.702553	0.731171	0.564859	0.500000	0.500000	0.500000	
012	0.765334	0.673555	0.500000	0.845170	0.787858	0.387638	0.500000	0.500000	0.500000	
013	0.772934	0.786712	0.500000	0.893053	0.810438	0.656645	0.500000	0.500000	0.500000	
014	0.773896	0.750369	0.500000	0.867850	0.738031	0.645225	0.500000	0.500000	0.500000	
015	0.775972	0.776585	0.500000	0.874870	0.798689	0.656197	0.500000	0.500000	0.500000	
016	0.771288	0.767150	0.500000	0.890552	0.776007	0.634891	0.500000	0.500000	0.500000	
017	0.751571	0.725188	0.500000	0.861217	0.758879	0.555468	0.500000	0.500000	0.500000	
018	0.774150	0.737096	0.500000	0.809905	0.788947	0.612435	0.500000	0.500000	0.500000	
019	0.769299	0.754176	0.500000	0.882869	0.762036	0.617625	0.500000	0.500000	0.500000	
020	0.769340	0.777988	0.500000	0.877377	0.798912	0.657675	0.500000	0.500000	0.500000	
021	0.763361	0.767830	0.500000	0.875089	0.798848	0.629553	0.500000	0.500000	0.500000	
022	0.769287	0.733631	0.500000	0.801782	0.786963	0.612147	0.500000	0.500000	0.500000	
023	0.768889	0.724816	0.500000	0.809087	0.754191	0.611169	0.500000	0.500000	0.500000	
024	0.780637	0.751829	0.500000	0.891335	0.758372	0.605780	0.500000	0.500000	0.500000	
025	0.776594	0.744521	0.500000	0.859235	0.750941	0.623385	0.500000	0.500000	0.500000	
026	0.763509	0.796017	0.500000	0.883172	0.786564	0.718315	0.500000	0.500000	0.500000	
027	0.764422	0.704419	0.500000	0.885775	0.795796	0.431687	0.500000	0.500000	0.500000	
028	0.772723	0.755691	0.500000	0.826059	0.823402	0.617613	0.500000	0.500000	0.500000	
029	0.766422	0.742734	0.500000	0.869668	0.751978	0.606558	0.500000	0.500000	0.500000	
030	0.771229	0.769643	0.500000	0.895213	0.805895	0.607821	0.500000	0.500000	0.500000	
031	0.766399	0.750448	0.500000	0.881494	0.706191	0.663659	0.500000	0.500000	0.500000	
032	0.772877	0.636272	0.500000	0.821096	0.684577	0.403143	0.500000	0.500000	0.500000	
033	0.778258	0.778094	0.500000	0.867761	0.816275	0.650247	0.500000	0.500000	0.500000	
034	0.784791	0.773675	0.500000	0.884873	0.813463	0.622690	0.500000	0.500000	0.500000	
035	0.769718	0.723906	0.500000	0.831014	0.817596	0.523107	0.500000	0.500000	0.500000	
036	0.765785	0.792814	0.500000	0.886727	0.816885	0.674830	0.500000	0.500000	0.500000	
037	0.776387	0.667754	0.500000	0.866284	0.705122	0.431856	0.500000	0.500000	0.500000	
038	0.781197	0.695998	0.500000	0.887091	0.575732	0.625172	0.500000	0.500000	0.500000	
039	0.780148	0.775304	0.500000	0.890397	0.788775	0.646741	0.500000	0.500000	0.500000	
040	0.785132	0.776055	0.500000	0.868131	0.815205	0.644830	0.500000	0.500000	0.500000	
041	0.777014	0.775005	0.500000	0.875275	0.805994	0.643745	0.500000	0.500000	0.500000	
042	0.779614	0.741562	0.500000	0.793873	0.799591	0.631221	0.500000	0.500000	0.500000	
043	0.785494	0.744730	0.500000	0.843766	0.798260	0.592163	0.500000	0.500000	0.500000	
044	0.765548	0.788147	0.500000	0.896222	0.808217	0.660004	0.500000	0.500000	0.500000	
045	0.772644	0.762545	0.500000	0.882778	0.751546	0.653311	0.500000	0.500000	0.500000	
046	0.776988	0.775925	0.500000	0.891956	0.806999	0.628819	0.500000	0.500000	0.500000	
