Epoch	Dice_Train	Dice_Val	AUC	Dice_11	Dice_22	Dice_33	AUC_1	AUC_2	AUC_3	
000	0.077708	0.000000	0.500000	0.000000	0.000000	0.000000	0.500000	0.500000	0.500000	
001	0.180979	0.216809	0.500000	0.650419	0.000007	0.000000	0.500000	0.500000	0.500000	
002	0.348076	0.331888	0.500000	0.605238	0.390426	0.000000	0.500000	0.500000	0.500000	
003	0.450308	0.439688	0.500000	0.768242	0.550823	0.000000	0.500000	0.500000	0.500000	
004	0.481490	0.495352	0.500000	0.798210	0.687845	0.000000	0.500000	0.500000	0.500000	
005	0.530251	0.526526	0.500000	0.872934	0.706644	0.000000	0.500000	0.500000	0.500000	
006	0.520778	0.299335	0.500000	0.336566	0.561439	0.000000	0.500000	0.500000	0.500000	
007	0.547227	0.488316	0.500000	0.828004	0.636945	0.000000	0.500000	0.500000	0.500000	
008	0.542067	0.486491	0.500000	0.749702	0.709770	0.000000	0.500000	0.500000	0.500000	
009	0.539012	0.485050	0.500000	0.887048	0.568101	0.000000	0.500000	0.500000	0.500000	
010	0.547002	0.464011	0.500000	0.712227	0.678934	0.000873	0.500000	0.500000	0.500000	
011	0.563203	0.513814	0.500000	0.848802	0.663756	0.028883	0.500000	0.500000	0.500000	
012	0.603874	0.562072	0.500000	0.835949	0.674338	0.175927	0.500000	0.500000	0.500000	
013	0.611673	0.566383	0.500000	0.834583	0.748987	0.115580	0.500000	0.500000	0.500000	
014	0.596597	0.607265	0.500000	0.852682	0.732710	0.236403	0.500000	0.500000	0.500000	
015	0.658259	0.608830	0.500000	0.820973	0.740161	0.265357	0.500000	0.500000	0.500000	
016	0.623845	0.618633	0.500000	0.868974	0.683866	0.303058	0.500000	0.500000	0.500000	
017	0.613715	0.668513	0.500000	0.894787	0.756124	0.354626	0.500000	0.500000	0.500000	
018	0.623070	0.594290	0.500000	0.835373	0.736591	0.210905	0.500000	0.500000	0.500000	
019	0.659176	0.627453	0.500000	0.880693	0.753008	0.248657	0.500000	0.500000	0.500000	
020	0.658276	0.652399	0.500000	0.848286	0.759228	0.349683	0.500000	0.500000	0.500000	
021	0.679264	0.678632	0.500000	0.878882	0.779095	0.377919	0.500000	0.500000	0.500000	
022	0.680307	0.666826	0.500000	0.876616	0.779206	0.344657	0.500000	0.500000	0.500000	
023	0.661504	0.638143	0.500000	0.898347	0.717502	0.298579	0.500000	0.500000	0.500000	
024	0.670983	0.486382	0.500000	0.786486	0.672265	0.000393	0.500000	0.500000	0.500000	
025	0.681344	0.680857	0.500000	0.884014	0.788050	0.370508	0.500000	0.500000	0.500000	
026	0.689110	0.650162	0.500000	0.878836	0.762321	0.309329	0.500000	0.500000	0.500000	
027	0.687609	0.573875	0.500000	0.704637	0.676307	0.340681	0.500000	0.500000	0.500000	
028	0.678447	0.603189	0.500000	0.831218	0.679712	0.298635	0.500000	0.500000	0.500000	
029	0.696874	0.668969	0.500000	0.883936	0.750039	0.372932	0.500000	0.500000	0.500000	
030	0.681380	0.653674	0.500000	0.879286	0.760595	0.321141	0.500000	0.500000	0.500000	
031	0.702698	0.633768	0.500000	0.870342	0.760706	0.270258	0.500000	0.500000	0.500000	
032	0.708090	0.604090	0.500000	0.861673	0.780207	0.170390	0.500000	0.500000	0.500000	
033	0.692425	0.676952	0.500000	0.876504	0.787269	0.367082	0.500000	0.500000	0.500000	
034	0.704705	0.652108	0.500000	0.897959	0.727465	0.330899	0.500000	0.500000	0.500000	
035	0.698520	0.612183	0.500000	0.722075	0.702591	0.411883	0.500000	0.500000	0.500000	
036	0.686826	0.687156	0.500000	0.879277	0.752162	0.430029	0.500000	0.500000	0.500000	
037	0.695104	0.602982	0.500000	0.827231	0.688577	0.293138	0.500000	0.500000	0.500000	
038	0.713185	0.635606	0.500000	0.825983	0.672617	0.408217	0.500000	0.500000	0.500000	
039	0.701364	0.687999	0.500000	0.872974	0.767487	0.423537	0.500000	0.500000	0.500000	
040	0.714692	0.665097	0.500000	0.866644	0.782103	0.346544	0.500000	0.500000	0.500000	
041	0.688728	0.659033	0.500000	0.870532	0.763592	0.342976	0.500000	0.500000	0.500000	
042	0.721804	0.683618	0.500000	0.877915	0.815613	0.357325	0.500000	0.500000	0.500000	
043	0.703585	0.669848	0.500000	0.888701	0.758982	0.361861	0.500000	0.500000	0.500000	
044	0.711112	0.692298	0.500000	0.886198	0.775490	0.415205	0.500000	0.500000	0.500000	
045	0.711130	0.689400	0.500000	0.890868	0.820348	0.356984	0.500000	0.500000	0.500000	
046	0.720396	0.674450	0.500000	0.894229	0.782370	0.346750	0.500000	0.500000	0.500000	
047	0.730744	0.618647	0.500000	0.886402	0.632919	0.336620	0.500000	0.500000	0.500000	
048	0.721479	0.668791	0.500000	0.875124	0.814410	0.316838	0.500000	0.500000	0.500000	
049	0.713204	0.654966	0.500000	0.882505	0.813402	0.268991	0.500000	0.500000	0.500000	
050	0.726388	0.637399	0.500000	0.878889	0.652716	0.380593	0.500000	0.500000	0.500000	
051	0.732557	0.672243	0.500000	0.878766	0.745656	0.392307	0.500000	0.500000	0.500000	
052	0.718791	0.633313	0.500000	0.826333	0.736907	0.336698	0.500000	0.500000	0.500000	
053	0.734994	0.694061	0.500000	0.861702	0.765815	0.454665	0.500000	0.500000	0.500000	
054	0.711179	0.669481	0.500000	0.877384	0.806173	0.324886	0.500000	0.500000	0.500000	
055	0.734127	0.649546	0.500000	0.874175	0.754271	0.320191	0.500000	0.500000	0.500000	
056	0.736871	0.673350	0.500000	0.833969	0.788904	0.397178	0.500000	0.500000	0.500000	
057	0.738734	0.679646	0.500000	0.893288	0.782926	0.362723	0.500000	0.500000	0.500000	
058	0.729550	0.663589	0.500000	0.864663	0.743045	0.383059	0.500000	0.500000	0.500000	
059	0.702945	0.676156	0.500000	0.885918	0.778114	0.364436	0.500000	0.500000	0.500000	
060	0.740520	0.680741	0.500000	0.843942	0.768644	0.429638	0.500000	0.500000	0.500000	
061	0.747798	0.672344	0.500000	0.873381	0.771727	0.371925	0.500000	0.500000	0.500000	
062	0.740268	0.684566	0.500000	0.884674	0.763487	0.405537	0.500000	0.500000	0.500000	
063	0.734704	0.662766	0.500000	0.862710	0.766859	0.358730	0.500000	0.500000	0.500000	
064	0.743326	0.680114	0.500000	0.875892	0.789835	0.374615	0.500000	0.500000	0.500000	
065	0.739832	0.694011	0.500000	0.885708	0.820065	0.376261	0.500000	0.500000	0.500000	
066	0.720745	0.682397	0.500000	0.896614	0.755241	0.395337	0.500000	0.500000	0.500000	
067	0.750179	0.711055	0.500000	0.810689	0.791994	0.530483	0.500000	0.500000	0.500000	
068	0.729845	0.647089	0.500000	0.890444	0.683010	0.367814	0.500000	0.500000	0.500000	
069	0.759650	0.679016	0.500000	0.860885	0.731140	0.445024	0.500000	0.500000	0.500000	
070	0.714334	0.687769	0.500000	0.863898	0.746030	0.453380	0.500000	0.500000	0.500000	
071	0.759295	0.706809	0.500000	0.876659	0.779631	0.464137	0.500000	0.500000	0.500000	
072	0.725815	0.601288	0.500000	0.891808	0.750443	0.161611	0.500000	0.500000	0.500000	
073	0.725788	0.699236	0.500000	0.889351	0.819820	0.388537	0.500000	0.500000	0.500000	
074	0.760859	0.686423	0.500000	0.879479	0.780013	0.399777	0.500000	0.500000	0.500000	
075	0.735635	0.678268	0.500000	0.863566	0.785612	0.385626	0.500000	0.500000	0.500000	
076	0.752750	0.655121	0.500000	0.874339	0.756910	0.334114	0.500000	0.500000	0.500000	
077	0.751040	0.677919	0.500000	0.877125	0.783356	0.373276	0.500000	0.500000	0.500000	
078	0.740859	0.665288	0.500000	0.871752	0.762323	0.361789	0.500000	0.500000	0.500000	
079	0.758418	0.619849	0.500000	0.852158	0.735166	0.272223	0.500000	0.500000	0.500000	
080	0.754207	0.650793	0.500000	0.851413	0.789707	0.311260	0.500000	0.500000	0.500000	
081	0.719965	0.692756	0.500000	0.870892	0.780455	0.426921	0.500000	0.500000	0.500000	
082	0.748884	0.629937	0.500000	0.875467	0.718362	0.295982	0.500000	0.500000	0.500000	
083	0.742582	0.659372	0.500000	0.841454	0.729900	0.406761	0.500000	0.500000	0.500000	
084	0.747412	0.635330	0.500000	0.844531	0.740732	0.320727	0.500000	0.500000	0.500000	
085	0.738273	0.674984	0.500000	0.871425	0.786936	0.366590	0.500000	0.500000	0.500000	
086	0.735576	0.614080	0.500000	0.874527	0.748502	0.219210	0.500000	0.500000	0.500000	
087	0.758251	0.660645	0.500000	0.865067	0.767697	0.349171	0.500000	0.500000	0.500000	
088	0.759109	0.668961	0.500000	0.886761	0.747159	0.372965	0.500000	0.500000	0.500000	
089	0.765254	0.649896	0.500000	0.886054	0.678298	0.385336	0.500000	0.500000	0.500000	
090	0.733037	0.672915	0.500000	0.894289	0.727517	0.396940	0.500000	0.500000	0.500000	
091	0.747961	0.523610	0.500000	0.850481	0.676117	0.044233	0.500000	0.500000	0.500000	
092	0.757450	0.652544	0.500000	0.808169	0.785797	0.363666	0.500000	0.500000	0.500000	
093	0.753154	0.724014	0.500000	0.881770	0.801466	0.488807	0.500000	0.500000	0.500000	
094	0.768053	0.672070	0.500000	0.890573	0.778034	0.347602	0.500000	0.500000	0.500000	
095	0.752183	0.660500	0.500000	0.891675	0.734801	0.355024	0.500000	0.500000	0.500000	
096	0.761772	0.627877	0.500000	0.852210	0.774182	0.257238	0.500000	0.500000	0.500000	
097	0.756535	0.653202	0.500000	0.878853	0.807824	0.272928	0.500000	0.500000	0.500000	
098	0.762506	0.664096	0.500000	0.878272	0.761756	0.352259	0.500000	0.500000	0.500000	
099	0.766703	0.642494	0.500000	0.890196	0.801231	0.236056	0.500000	0.500000	0.500000	
100	0.752991	0.574364	0.500000	0.653309	0.808887	0.260897	0.500000	0.500000	0.500000	
101	0.780816	0.659368	0.500000	0.889012	0.760729	0.328365	0.500000	0.500000	0.500000	
102	0.761545	0.691738	0.500000	0.888950	0.747675	0.438589	0.500000	0.500000	0.500000	
103	0.773279	0.635754	0.500000	0.817633	0.723291	0.366338	0.500000	0.500000	0.500000	
104	0.762278	0.623403	0.500000	0.764348	0.807393	0.298467	0.500000	0.500000	0.500000	
105	0.752561	0.665859	0.500000	0.890425	0.770990	0.336163	0.500000	0.500000	0.500000	
106	0.769240	0.696532	0.500000	0.878989	0.811218	0.399390	0.500000	0.500000	0.500000	
107	0.746315	0.659029	0.500000	0.892528	0.760917	0.323643	0.500000	0.500000	0.500000	
108	0.754854	0.713224	0.500000	0.894494	0.816838	0.428339	0.500000	0.500000	0.500000	
109	0.759521	0.716136	0.500000	0.867540	0.806945	0.473922	0.500000	0.500000	0.500000	
110	0.781433	0.721412	0.500000	0.884161	0.794383	0.485693	0.500000	0.500000	0.500000	
111	0.751446	0.666951	0.500000	0.867392	0.702269	0.431192	0.500000	0.500000	0.500000	
112	0.754346	0.706316	0.500000	0.887368	0.797422	0.434158	0.500000	0.500000	0.500000	
113	0.769109	0.684331	0.500000	0.887663	0.796262	0.369069	0.500000	0.500000	0.500000	
114	0.766074	0.664073	0.500000	0.863078	0.772994	0.356148	0.500000	0.500000	0.500000	
115	0.765816	0.635889	0.500000	0.819753	0.750829	0.337085	0.500000	0.500000	0.500000	
116	0.767616	0.671185	0.500000	0.879182	0.776711	0.357661	0.500000	0.500000	0.500000	
117	0.739278	0.715830	0.500000	0.886922	0.811294	0.449274	0.500000	0.500000	0.500000	
118	0.762566	0.652809	0.500000	0.866783	0.728764	0.362882	0.500000	0.500000	0.500000	
119	0.753721	0.683857	0.500000	0.874735	0.791407	0.385429	0.500000	0.500000	0.500000	
120	0.771754	0.682361	0.500000	0.894529	0.810918	0.341635	0.500000	0.500000	0.500000	
121	0.750091	0.717934	0.500000	0.885877	0.786544	0.481380	0.500000	0.500000	0.500000	
122	0.759828	0.721397	0.500000	0.888757	0.794683	0.480752	0.500000	0.500000	0.500000	
123	0.777108	0.675414	0.500000	0.888427	0.743712	0.394102	0.500000	0.500000	0.500000	
124	0.765291	0.693263	0.500000	0.888971	0.802889	0.387929	0.500000	0.500000	0.500000	
125	0.779121	0.683680	0.500000	0.853912	0.696128	0.500999	0.500000	0.500000	0.500000	
126	0.764418	0.677316	0.500000	0.846407	0.799328	0.386213	0.500000	0.500000	0.500000	
127	0.769612	0.702123	0.500000	0.885235	0.774005	0.447130	0.500000	0.500000	0.500000	
128	0.756545	0.665624	0.500000	0.868597	0.767812	0.360464	0.500000	0.500000	0.500000	
129	0.766546	0.696806	0.500000	0.854501	0.773910	0.462006	0.500000	0.500000	0.500000	
130	0.758365	0.695888	0.500000	0.904177	0.773401	0.410086	0.500000	0.500000	0.500000	
131	0.771265	0.721275	0.500000	0.876286	0.802590	0.484950	0.500000	0.500000	0.500000	
132	0.763415	0.712880	0.500000	0.889692	0.753317	0.495632	0.500000	0.500000	0.500000	
133	0.770205	0.637681	0.500000	0.759611	0.786177	0.367256	0.500000	0.500000	0.500000	
134	0.772320	0.673387	0.500000	0.884362	0.748207	0.387591	0.500000	0.500000	0.500000	
135	0.772069	0.669392	0.500000	0.882363	0.751043	0.374772	0.500000	0.500000	0.500000	
136	0.744707	0.673415	0.500000	0.860269	0.761585	0.398390	0.500000	0.500000	0.500000	
137	0.769538	0.676696	0.500000	0.849650	0.777514	0.402923	0.500000	0.500000	0.500000	
138	0.779202	0.681105	0.500000	0.880583	0.781476	0.381255	0.500000	0.500000	0.500000	
139	0.779268	0.691290	0.500000	0.837663	0.806765	0.429441	0.500000	0.500000	0.500000	
