Epoch	Dice_Train	Dice_Val	AUC	Dice_11	Dice_22	Dice_33	AUC_1	AUC_2	AUC_3	
000	0.754736	0.583125	0.500000	0.607492	0.478056	0.663826	0.500000	0.500000	0.500000	
001	0.775878	0.600987	0.500000	0.612642	0.505350	0.684968	0.500000	0.500000	0.500000	
002	0.784480	0.576538	0.500000	0.611068	0.468904	0.649642	0.500000	0.500000	0.500000	
003	0.796038	0.551785	0.500000	0.573096	0.509360	0.572898	0.500000	0.500000	0.500000	
004	0.793830	0.604220	0.500000	0.578904	0.597065	0.636691	0.500000	0.500000	0.500000	
005	0.795427	0.605072	0.500000	0.640431	0.502250	0.672536	0.500000	0.500000	0.500000	
006	0.775128	0.559525	0.500000	0.614932	0.463422	0.600222	0.500000	0.500000	0.500000	
007	0.795140	0.591467	0.500000	0.580125	0.564282	0.629994	0.500000	0.500000	0.500000	
008	0.790442	0.632001	0.500000	0.619358	0.588267	0.688379	0.500000	0.500000	0.500000	
009	0.799886	0.628711	0.500000	0.688458	0.504049	0.693627	0.500000	0.500000	0.500000	
010	0.795028	0.592060	0.500000	0.610070	0.490955	0.675156	0.500000	0.500000	0.500000	
011	0.810215	0.607520	0.500000	0.592844	0.562982	0.666734	0.500000	0.500000	0.500000	
012	0.793304	0.622153	0.500000	0.758169	0.470487	0.637803	0.500000	0.500000	0.500000	
013	0.781102	0.614520	0.500000	0.640258	0.504475	0.698828	0.500000	0.500000	0.500000	
014	0.808730	0.661728	0.500000	0.791053	0.535063	0.659069	0.500000	0.500000	0.500000	
015	0.804620	0.615898	0.500000	0.642173	0.495061	0.710460	0.500000	0.500000	0.500000	
016	0.799010	0.611202	0.500000	0.615394	0.572675	0.645537	0.500000	0.500000	0.500000	
017	0.817409	0.626976	0.500000	0.594540	0.541889	0.744500	0.500000	0.500000	0.500000	
018	0.809634	0.570291	0.500000	0.628150	0.465130	0.617593	0.500000	0.500000	0.500000	
019	0.811191	0.682800	0.500000	0.755982	0.638011	0.654405	0.500000	0.500000	0.500000	
020	0.803252	0.586587	0.500000	0.559998	0.589472	0.610289	0.500000	0.500000	0.500000	
021	0.801963	0.576634	0.500000	0.559660	0.538174	0.632067	0.500000	0.500000	0.500000	
022	0.816840	0.534479	0.500000	0.569779	0.483035	0.550624	0.500000	0.500000	0.500000	
023	0.812072	0.637176	0.500000	0.640099	0.647656	0.623774	0.500000	0.500000	0.500000	
024	0.786169	0.586430	0.500000	0.686741	0.483234	0.589315	0.500000	0.500000	0.500000	
025	0.801514	0.623960	0.500000	0.635108	0.542277	0.694496	0.500000	0.500000	0.500000	
026	0.800628	0.569491	0.500000	0.585039	0.459440	0.663994	0.500000	0.500000	0.500000	
027	0.793014	0.689956	0.500000	0.772568	0.602500	0.694799	0.500000	0.500000	0.500000	
028	0.808516	0.627427	0.500000	0.573926	0.627189	0.681166	0.500000	0.500000	0.500000	
029	0.809440	0.635899	0.500000	0.589523	0.599292	0.718884	0.500000	0.500000	0.500000	
030	0.817127	0.599921	0.500000	0.576481	0.507000	0.716283	0.500000	0.500000	0.500000	
031	0.823123	0.657562	0.500000	0.614700	0.620419	0.737566	0.500000	0.500000	0.500000	
032	0.820770	0.676797	0.500000	0.760321	0.608520	0.661551	0.500000	0.500000	0.500000	
033	0.812567	0.668872	0.500000	0.699909	0.654771	0.651934	0.500000	0.500000	0.500000	
034	0.805170	0.593605	0.500000	0.619924	0.557009	0.603882	0.500000	0.500000	0.500000	
035	0.793824	0.664877	0.500000	0.746199	0.523848	0.724583	0.500000	0.500000	0.500000	
036	0.818479	0.700310	0.500000	0.755949	0.620712	0.724267	0.500000	0.500000	0.500000	
037	0.824350	0.650117	0.500000	0.765455	0.484502	0.700394	0.500000	0.500000	0.500000	
038	0.822838	0.672857	0.500000	0.743923	0.529814	0.744833	0.500000	0.500000	0.500000	
039	0.828899	0.685920	0.500000	0.733200	0.631585	0.692977	0.500000	0.500000	0.500000	
040	0.828996	0.661186	0.500000	0.647772	0.577022	0.758763	0.500000	0.500000	0.500000	
041	0.830778	0.666195	0.500000	0.749608	0.533682	0.715294	0.500000	0.500000	0.500000	
042	0.836069	0.675579	0.500000	0.703762	0.587497	0.735478	0.500000	0.500000	0.500000	
043	0.817992	0.230251	0.500000	0.380612	0.193783	0.116358	0.500000	0.500000	0.500000	
044	0.795127	0.587099	0.500000	0.738267	0.493003	0.530028	0.500000	0.500000	0.500000	
045	0.795622	0.635662	0.500000	0.659452	0.589016	0.658518	0.500000	0.500000	0.500000	
046	0.818197	0.727653	0.500000	0.778106	0.672028	0.732825	0.500000	0.500000	0.500000	
047	0.819200	0.676180	0.500000	0.772536	0.561934	0.694069	0.500000	0.500000	0.500000	
048	0.816540	0.641094	0.500000	0.737231	0.508330	0.677720	0.500000	0.500000	0.500000	
049	0.826430	0.698854	0.500000	0.777484	0.595726	0.723352	0.500000	0.500000	0.500000	
050	0.832812	0.632820	0.500000	0.639530	0.576543	0.682388	0.500000	0.500000	0.500000	
051	0.835491	0.629605	0.500000	0.643966	0.587485	0.657364	0.500000	0.500000	0.500000	
052	0.831973	0.607496	0.500000	0.642117	0.529753	0.650617	0.500000	0.500000	0.500000	
053	0.821329	0.617277	0.500000	0.623751	0.509561	0.718517	0.500000	0.500000	0.500000	
054	0.834437	0.653395	0.500000	0.625916	0.632453	0.701816	0.500000	0.500000	0.500000	
055	0.836061	0.574506	0.500000	0.619308	0.459704	0.644505	0.500000	0.500000	0.500000	
056	0.817164	0.554888	0.500000	0.465759	0.679597	0.519308	0.500000	0.500000	0.500000	
057	0.810356	0.622398	0.500000	0.612679	0.546258	0.708257	0.500000	0.500000	0.500000	
058	0.817779	0.676067	0.500000	0.759647	0.543446	0.725108	0.500000	0.500000	0.500000	
059	0.808409	0.563533	0.500000	0.561909	0.447861	0.680829	0.500000	0.500000	0.500000	
060	0.803163	0.749333	0.500000	0.765051	0.699445	0.783505	0.500000	0.500000	0.500000	
061	0.821421	0.623774	0.500000	0.622678	0.528832	0.719811	0.500000	0.500000	0.500000	
062	0.818845	0.635702	0.500000	0.627680	0.547137	0.732291	0.500000	0.500000	0.500000	
063	0.828464	0.633526	0.500000	0.574290	0.582264	0.744023	0.500000	0.500000	0.500000	
064	0.838670	0.627992	0.500000	0.572935	0.600560	0.710482	0.500000	0.500000	0.500000	
065	0.836369	0.650723	0.500000	0.667455	0.571329	0.713384	0.500000	0.500000	0.500000	
066	0.832355	0.676255	0.500000	0.652147	0.635126	0.741491	0.500000	0.500000	0.500000	
067	0.841104	0.624266	0.500000	0.591403	0.556313	0.725081	0.500000	0.500000	0.500000	
068	0.837424	0.673567	0.500000	0.666652	0.609273	0.744778	0.500000	0.500000	0.500000	
069	0.839370	0.699025	0.500000	0.758716	0.572494	0.765864	0.500000	0.500000	0.500000	
070	0.833280	0.643870	0.500000	0.657644	0.530948	0.743019	0.500000	0.500000	0.500000	
071	0.837591	0.691173	0.500000	0.765857	0.576345	0.731316	0.500000	0.500000	0.500000	
072	0.844346	0.650279	0.500000	0.613136	0.579204	0.758496	0.500000	0.500000	0.500000	
073	0.840819	0.668866	0.500000	0.759436	0.522493	0.724671	0.500000	0.500000	0.500000	
074	0.817943	0.625149	0.500000	0.653623	0.602872	0.618953	0.500000	0.500000	0.500000	
075	0.803387	0.576951	0.500000	0.742588	0.497432	0.490834	0.500000	0.500000	0.500000	
076	0.799968	0.633552	0.500000	0.552453	0.572612	0.775591	0.500000	0.500000	0.500000	
077	0.815109	0.644638	0.500000	0.722393	0.581304	0.630216	0.500000	0.500000	0.500000	
078	0.825847	0.653751	0.500000	0.649600	0.658542	0.653111	0.500000	0.500000	0.500000	
079	0.831711	0.705089	0.500000	0.701949	0.678752	0.734566	0.500000	0.500000	0.500000	
080	0.834746	0.660479	0.500000	0.636706	0.657784	0.686948	0.500000	0.500000	0.500000	
081	0.833951	0.615795	0.500000	0.613282	0.533107	0.700997	0.500000	0.500000	0.500000	
082	0.825740	0.697330	0.500000	0.653140	0.696457	0.742393	0.500000	0.500000	0.500000	
083	0.830869	0.653739	0.500000	0.679737	0.643205	0.638275	0.500000	0.500000	0.500000	
084	0.833500	0.646981	0.500000	0.611547	0.613582	0.715814	0.500000	0.500000	0.500000	
