Epoch	Dice_Train	Dice_Val	AUC	Dice_11	Dice_22	Dice_33	AUC_1	AUC_2	AUC_3	
000	0.040394	0.000000	0.500000	0.000000	0.000000	0.000000	0.500000	0.500000	0.500000	
001	0.035295	0.000000	0.500000	0.000000	0.000000	0.000000	0.500000	0.500000	0.500000	
002	0.137583	0.094287	0.500000	0.242249	0.040613	0.000000	0.500000	0.500000	0.500000	
003	0.386700	0.228413	0.500000	0.455654	0.229584	0.000000	0.500000	0.500000	0.500000	
004	0.470393	0.363083	0.500000	0.716114	0.373136	0.000000	0.500000	0.500000	0.500000	
005	0.516498	0.299316	0.500000	0.568365	0.329583	0.000000	0.500000	0.500000	0.500000	
006	0.499650	0.360827	0.500000	0.686917	0.395563	0.000000	0.500000	0.500000	0.500000	
007	0.513775	0.376695	0.500000	0.711861	0.418225	0.000000	0.500000	0.500000	0.500000	
008	0.515171	0.302858	0.500000	0.519334	0.389240	0.000000	0.500000	0.500000	0.500000	
009	0.529121	0.360454	0.500000	0.663260	0.418103	0.000000	0.500000	0.500000	0.500000	
010	0.528483	0.321415	0.500000	0.533910	0.430279	0.000057	0.500000	0.500000	0.500000	
011	0.547417	0.369757	0.500000	0.694073	0.414491	0.000707	0.500000	0.500000	0.500000	
012	0.550982	0.370205	0.500000	0.691806	0.418801	0.000008	0.500000	0.500000	0.500000	
013	0.546067	0.382181	0.500000	0.728560	0.416191	0.001793	0.500000	0.500000	0.500000	
014	0.546438	0.360530	0.500000	0.674201	0.407390	0.000000	0.500000	0.500000	0.500000	
015	0.558737	0.350100	0.500000	0.573492	0.476243	0.000566	0.500000	0.500000	0.500000	
016	0.568831	0.346385	0.500000	0.626888	0.391954	0.020315	0.500000	0.500000	0.500000	
017	0.530612	0.412777	0.500000	0.674695	0.563636	0.000000	0.500000	0.500000	0.500000	
018	0.547025	0.382841	0.500000	0.602088	0.464516	0.081920	0.500000	0.500000	0.500000	
019	0.573900	0.400752	0.500000	0.627297	0.556041	0.018917	0.500000	0.500000	0.500000	
020	0.556305	0.344427	0.500000	0.583237	0.388275	0.061770	0.500000	0.500000	0.500000	
021	0.558281	0.429966	0.500000	0.713852	0.460427	0.115621	0.500000	0.500000	0.500000	
022	0.573860	0.390432	0.500000	0.598812	0.539253	0.033231	0.500000	0.500000	0.500000	
023	0.572919	0.404230	0.500000	0.623019	0.467664	0.122008	0.500000	0.500000	0.500000	
024	0.575027	0.410709	0.500000	0.705651	0.521564	0.004912	0.500000	0.500000	0.500000	
025	0.576660	0.355176	0.500000	0.609772	0.441489	0.014268	0.500000	0.500000	0.500000	
026	0.545552	0.314124	0.500000	0.568618	0.372230	0.001523	0.500000	0.500000	0.500000	
027	0.580049	0.506887	0.500000	0.689196	0.459970	0.371496	0.500000	0.500000	0.500000	
028	0.598816	0.416153	0.500000	0.660877	0.518372	0.069210	0.500000	0.500000	0.500000	
029	0.590857	0.433210	0.500000	0.815814	0.472738	0.011078	0.500000	0.500000	0.500000	
030	0.604203	0.396420	0.500000	0.711623	0.446582	0.031054	0.500000	0.500000	0.500000	
031	0.593705	0.361180	0.500000	0.546547	0.432111	0.104881	0.500000	0.500000	0.500000	
032	0.597196	0.362289	0.500000	0.609110	0.463696	0.014060	0.500000	0.500000	0.500000	
033	0.594594	0.371927	0.500000	0.630695	0.477184	0.007901	0.500000	0.500000	0.500000	
034	0.608818	0.416729	0.500000	0.520458	0.438369	0.291360	0.500000	0.500000	0.500000	
035	0.619426	0.498271	0.500000	0.765646	0.435809	0.293358	0.500000	0.500000	0.500000	
036	0.658286	0.468211	0.500000	0.710400	0.491942	0.202290	0.500000	0.500000	0.500000	
