Epoch	Dice_Train	Dice_Val	AUC	Dice_11	Dice_22	Dice_33	AUC_1	AUC_2	AUC_3	
000	0.697145	0.538108	0.500000	0.678812	0.745466	0.190047	0.500000	0.500000	0.500000	
001	0.716270	0.449405	0.500000	0.404448	0.767588	0.176179	0.500000	0.500000	0.500000	
002	0.720244	0.575310	0.500000	0.756901	0.695583	0.273447	0.500000	0.500000	0.500000	
003	0.724025	0.463681	0.500000	0.706854	0.628447	0.055743	0.500000	0.500000	0.500000	
004	0.724023	0.539395	0.500000	0.757068	0.746165	0.114952	0.500000	0.500000	0.500000	
005	0.703901	0.340218	0.500000	0.382830	0.473795	0.164028	0.500000	0.500000	0.500000	
006	0.716246	0.617004	0.500000	0.746171	0.749467	0.355373	0.500000	0.500000	0.500000	
007	0.719499	0.421251	0.500000	0.465304	0.675217	0.123233	0.500000	0.500000	0.500000	
008	0.718524	0.516953	0.500000	0.688223	0.769517	0.093118	0.500000	0.500000	0.500000	
009	0.716970	0.482644	0.500000	0.603069	0.748264	0.096599	0.500000	0.500000	0.500000	
010	0.725577	0.525778	0.500000	0.666208	0.719409	0.191718	0.500000	0.500000	0.500000	
011	0.728314	0.486630	0.500000	0.537182	0.711150	0.211559	0.500000	0.500000	0.500000	
012	0.716170	0.498544	0.500000	0.700924	0.698631	0.096076	0.500000	0.500000	0.500000	
013	0.718182	0.546995	0.500000	0.769832	0.736769	0.134383	0.500000	0.500000	0.500000	
014	0.733201	0.595872	0.500000	0.813446	0.582485	0.391685	0.500000	0.500000	0.500000	
015	0.738329	0.555329	0.500000	0.765524	0.713662	0.186802	0.500000	0.500000	0.500000	
016	0.714693	0.551775	0.500000	0.709801	0.719128	0.226395	0.500000	0.500000	0.500000	
017	0.706052	0.571562	0.500000	0.847647	0.725403	0.141636	0.500000	0.500000	0.500000	
018	0.740324	0.496216	0.500000	0.712556	0.666858	0.109233	0.500000	0.500000	0.500000	
019	0.726041	0.506099	0.500000	0.769905	0.614751	0.133639	0.500000	0.500000	0.500000	
020	0.741969	0.483293	0.500000	0.645409	0.712702	0.091766	0.500000	0.500000	0.500000	
021	0.723683	0.504527	0.500000	0.718995	0.712304	0.082283	0.500000	0.500000	0.500000	
022	0.736654	0.563451	0.500000	0.794420	0.744564	0.151369	0.500000	0.500000	0.500000	
023	0.718045	0.520728	0.500000	0.694177	0.695681	0.172326	0.500000	0.500000	0.500000	
024	0.731393	0.540507	0.500000	0.769339	0.732097	0.120083	0.500000	0.500000	0.500000	
025	0.733687	0.597083	0.500000	0.661411	0.721124	0.408715	0.500000	0.500000	0.500000	
026	0.743417	0.553858	0.500000	0.810316	0.699774	0.151484	0.500000	0.500000	0.500000	
027	0.720581	0.549317	0.500000	0.777437	0.718283	0.152231	0.500000	0.500000	0.500000	
028	0.722889	0.553750	0.500000	0.741861	0.717399	0.201988	0.500000	0.500000	0.500000	
029	0.736432	0.484481	0.500000	0.662647	0.706909	0.083885	0.500000	0.500000	0.500000	
030	0.730820	0.530395	0.500000	0.707519	0.742261	0.141404	0.500000	0.500000	0.500000	
031	0.727481	0.488912	0.500000	0.686793	0.631661	0.148282	0.500000	0.500000	0.500000	
032	0.744468	0.522448	0.500000	0.735187	0.719534	0.112623	0.500000	0.500000	0.500000	
033	0.726368	0.581309	0.500000	0.757672	0.664402	0.321854	0.500000	0.500000	0.500000	
034	0.733280	0.462637	0.500000	0.623480	0.690154	0.074277	0.500000	0.500000	0.500000	
035	0.736312	0.500562	0.500000	0.735727	0.647169	0.118789	0.500000	0.500000	0.500000	
036	0.730388	0.508267	0.500000	0.744151	0.665709	0.114941	0.500000	0.500000	0.500000	
037	0.748061	0.546368	0.500000	0.797803	0.635271	0.206030	0.500000	0.500000	0.500000	
038	0.736848	0.565979	0.500000	0.716869	0.678209	0.302857	0.500000	0.500000	0.500000	
039	0.731619	0.515904	0.500000	0.709727	0.699569	0.138417	0.500000	0.500000	0.500000	
040	0.736520	0.517759	0.500000	0.682430	0.700830	0.170018	0.500000	0.500000	0.500000	
041	0.723246	0.510792	0.500000	0.719739	0.663881	0.148757	0.500000	0.500000	0.500000	
042	0.743316	0.553107	0.500000	0.756839	0.685750	0.216731	0.500000	0.500000	0.500000	
043	0.731842	0.558627	0.500000	0.759465	0.723771	0.192645	0.500000	0.500000	0.500000	
044	0.746580	0.549890	0.500000	0.676651	0.699195	0.273824	0.500000	0.500000	0.500000	
045	0.741659	0.433910	0.500000	0.488810	0.734022	0.078899	0.500000	0.500000	0.500000	
046	0.732398	0.540094	0.500000	0.805249	0.726668	0.088366	0.500000	0.500000	0.500000	
047	0.735620	0.454921	0.500000	0.628900	0.531457	0.204407	0.500000	0.500000	0.500000	
048	0.732385	0.535491	0.500000	0.717174	0.470146	0.419152	0.500000	0.500000	0.500000	
049	0.725777	0.533773	0.500000	0.673171	0.761023	0.167125	0.500000	0.500000	0.500000	
050	0.750133	0.484017	0.500000	0.542268	0.734710	0.175072	0.500000	0.500000	0.500000	
051	0.731487	0.554656	0.500000	0.689333	0.703616	0.271020	0.500000	0.500000	0.500000	
052	0.739889	0.543920	0.500000	0.702375	0.728701	0.200682	0.500000	0.500000	0.500000	
053	0.748123	0.510667	0.500000	0.688548	0.552625	0.290826	0.500000	0.500000	0.500000	
054	0.737163	0.549995	0.500000	0.735983	0.737863	0.176139	0.500000	0.500000	0.500000	
055	0.751284	0.409131	0.500000	0.496847	0.593915	0.136632	0.500000	0.500000	0.500000	
056	0.751249	0.429007	0.500000	0.611391	0.440131	0.235500	0.500000	0.500000	0.500000	
057	0.734724	0.477923	0.500000	0.668549	0.464014	0.301206	0.500000	0.500000	0.500000	
058	0.752523	0.513697	0.500000	0.585422	0.738706	0.216963	0.500000	0.500000	0.500000	
059	0.725837	0.473885	0.500000	0.627174	0.685424	0.109055	0.500000	0.500000	0.500000	
