Epoch	Dice_Train	Dice_Val	AUC	Dice_11	Dice_22	Dice_33	AUC_1	AUC_2	AUC_3	
000	0.115628	0.000000	0.500000	0.000000	0.000000	0.000000	0.500000	0.500000	0.500000	
001	0.111738	0.098964	0.500000	0.204497	0.092394	0.000000	0.500000	0.500000	0.500000	
002	0.270572	0.284950	0.500000	0.611073	0.243777	0.000000	0.500000	0.500000	0.500000	
003	0.393890	0.369820	0.500000	0.635026	0.474435	0.000000	0.500000	0.500000	0.500000	
004	0.410085	0.335237	0.500000	0.700685	0.305025	0.000000	0.500000	0.500000	0.500000	
005	0.435707	0.437833	0.500000	0.614726	0.698773	0.000000	0.500000	0.500000	0.500000	
006	0.459337	0.444037	0.500000	0.784310	0.547802	0.000000	0.500000	0.500000	0.500000	
007	0.471420	0.455084	0.500000	0.647499	0.717451	0.000302	0.500000	0.500000	0.500000	
008	0.479303	0.212897	0.500000	0.157269	0.472496	0.008925	0.500000	0.500000	0.500000	
009	0.504649	0.533310	0.500000	0.682761	0.656279	0.260889	0.500000	0.500000	0.500000	
010	0.576679	0.467963	0.500000	0.708615	0.540624	0.154651	0.500000	0.500000	0.500000	
011	0.531929	0.450338	0.500000	0.720784	0.621197	0.009033	0.500000	0.500000	0.500000	
012	0.572129	0.455104	0.500000	0.713827	0.592444	0.059042	0.500000	0.500000	0.500000	
013	0.598600	0.256802	0.500000	0.023299	0.634866	0.112241	0.500000	0.500000	0.500000	
014	0.590883	0.465956	0.500000	0.609612	0.717699	0.070556	0.500000	0.500000	0.500000	
015	0.606234	0.412410	0.500000	0.647069	0.466253	0.123907	0.500000	0.500000	0.500000	
016	0.609384	0.496060	0.500000	0.740027	0.569983	0.178171	0.500000	0.500000	0.500000	
017	0.592145	0.467187	0.500000	0.642351	0.486837	0.272371	0.500000	0.500000	0.500000	
018	0.603525	0.588136	0.500000	0.732095	0.642481	0.389832	0.500000	0.500000	0.500000	
019	0.630462	0.476895	0.500000	0.645842	0.701940	0.082905	0.500000	0.500000	0.500000	
020	0.619289	0.560574	0.500000	0.600389	0.732423	0.348910	0.500000	0.500000	0.500000	
021	0.647195	0.532881	0.500000	0.628228	0.635023	0.335391	0.500000	0.500000	0.500000	
022	0.609601	0.466358	0.500000	0.796810	0.480095	0.122170	0.500000	0.500000	0.500000	
023	0.642894	0.458451	0.500000	0.727455	0.448211	0.199686	0.500000	0.500000	0.500000	
024	0.640186	0.470916	0.500000	0.743526	0.474424	0.194798	0.500000	0.500000	0.500000	
025	0.632111	0.538721	0.500000	0.697539	0.625347	0.293276	0.500000	0.500000	0.500000	
